attribute,min,ok,top,ponderation
Height,165,175,185,5
Offensive Awareness,70,75,85,5
Ball Control,75,80,85,5
Dribbling,75,80,85,5
Tight Possession,75,80,85,5
Low Pass,80,85,90,5
Lofted Pass,80,85,90,13
Finishing,70,75,80,1
Heading,60,75,85,1
Place Kicking,60,70,85,1
Curl,75,85,90,13
Defensive Awareness,75,80,85,8
Defensive Engagement,75,80,85,8
Tackling,75,80,85,8
Aggression,75,80,85,8
Speed,85,90,95,17
Acceleration,80,85,90,8
Kicking Power,70,75,80,5
Jump,70,75,80,1
Physical Contact,75,80,85,5
Balance,75,80,85,5
Stamina,85,90,95,17

epic_dif,0,0,0,0
weak_foot_usage,0,0,0,1000
weak_foot_acc,0,0,0,1000
player_form,0,0,0,3000
injury_resistance,0,0,0,0

Skills,0,0,0,0
Edged Crossing,0,0,0,2100
Long Reach Tackle,0,0,0,1700
Fortress,0,0,0,800
Visionary Pass,0,0,0,500
Phenomenal Pass,0,0,0,500
Aerial Fort,0,0,0,500
Phenomenal Finishing,0,0,0,300
Momentum Dribbling,0,0,0,300
Low Screamer,0,0,0,300
Game Changing Pass,0,0,0,300
Blitz Curler,0,0,0,300
Through Passing,0,0,0,800
Blocker,0,0,0,800
One Touch Pass,0,0,0,800
Interception,0,0,0,800
Long Throw,0,0,0,800
Low Lofted Pass,0,0,0,800
Man Marking,0,0,0,800
Sliding Tackle,0,0,0,800
Pinpoint Crossing,0,0,0,800
Aerial Superiority,0,0,0,500
Acrobatic Clearance,0,0,0,500
Fighting Spirit,0,0,0,500
Weighted Pass,0,0,0,500
First Time Shot,0,0,0,300
Double Touch,0,0,0,300
Gamesmanship,0,0,0,300
Heading,0,0,0,300
Outside Curler,0,0,0,300
Marseille Turn,0,0,0,300
Rabona,0,0,0,300
Track Back,0,0,0,300
Sole Control,0,0,0,200
Acceleration Burst,0,0,0,200
Long Range Curler,0,0,0,200
Flip Flap,0,0,0,200
Scissors Feint,0,0,0,200
Super Sub,0,0,0,200
Long Range Shooting,0,0,0,200
Cut Behind & Turn,0,0,0,200
Scotch Move,0,0,0,200
Chop Turn,0,0,0,200
Chip Shot Control,0,0,0,100
Dipping Shot,0,0,0,100
Rising Shots,0,0,0,100
Heel Trick,0,0,0,100
Knuckle Shot,0,0,0,100
Acrobatic Finishing,0,0,0,100
Captaincy,0,0,0,100
Penalty Specialist,0,0,0,100
Sombrero,0,0,0,100

Bio,0,0,0,0
Leg Length,0,0,0,200
Arm Length,0,0,0,25
Waist Size,0,0,0,0
Chest,0,0,0,25
Shoulder Width,0,0,0,25
Neck Length,0,0,0,0
Quick Bio,0,0,0,2
Strong Bio,0,0,0,5
