attribute,min,ok,top,ponderation
Height,165,175,180,8
Offensive Awareness,70,75,80,0
Ball Control,80,87,95,8
Dribbling,80,87,95,8
Tight Possession,80,87,95,8
Low Pass,82,90,92,17
Lofted Pass,82,90,95,13
Finishing,70,75,80,2
Heading,70,75,80,3
Place Kicking,75,80,90,3
Curl,65,70,90,5
Defensive Awareness,80,87,90,13
Defensive Engagement,80,87,90,8
Tackling,80,87,90,8
Aggression,80,82,90,8
Speed,80,85,90,8
Acceleration,80,85,90,8
Kicking Power,70,80,87,3
Jump,70,75,80,1
Physical Contact,75,80,87,8
Balance,75,80,87,5
Stamina,80,85,90,10

epic_dif,0,0,0,0
weak_foot_usage,0,0,0,1000
weak_foot_acc,0,0,0,1000
player_form,0,0,0,3000
injury_resistance,0,0,0,0

Skills,0,0,0,0
Long Reach Tackle,0,0,0,1700
Visionary Pass,0,0,0,1700
Phenomenal Pass,0,0,0,1700
Fortress,0,0,0,1000
Aerial Fort,0,0,0,800
Game Changing Pass,0,0,0,800
Magnetic Feet,0,0,0,500
Blitz Curler,0,0,0,300
Low Screamer,0,0,0,300
Acceleration Burst,0,0,0,200
Will Power,0,0,0,100
Momentum Dribbling,0,0,0,100
Phenomenal Finishing,0,0,0,100
Edged Crossing,0,0,0,100
Bullet Header,0,0,0,100
Through Passing,0,0,0,1300
One Touch Pass,0,0,0,1300
Sliding Tackle,0,0,0,1000
Interception,0,0,0,1000
Blocker,0,0,0,1000
Weighted Pass,0,0,0,1000
Man Marking,0,0,0,800
Double Touch,0,0,0,800
Fighting Spirit,0,0,0,800
Low Lofted Pass,0,0,0,800
Aerial Superiority,0,0,0,500
Marseille Turn,0,0,0,500
Acrobatic Clearance,0,0,0,500
Flip Flap,0,0,0,500
Sole Control,0,0,0,500
Heading,0,0,0,500
Long Range Shooting,0,0,0,300
Outside Curler,0,0,0,300
Gamesmanship,0,0,0,300
First Time Shot,0,0,0,300
Track Back,0,0,0,300
Pinpoint Crossing,0,0,0,300
Cut Behind & Turn,0,0,0,200
Heel Trick,0,0,0,200
Super Sub,0,0,0,200
Scissors Feint,0,0,0,200
Long Range Curler,0,0,0,200
Captaincy,0,0,0,200
Long Throw,0,0,0,200
Penalty Specialist,0,0,0,200
Scotch Move,0,0,0,200
Chop Turn,0,0,0,200
Rabona,0,0,0,200
Dipping Shot,0,0,0,100
Rising Shots,0,0,0,100
Chip Shot Control,0,0,0,100
Knuckle Shot,0,0,0,100
Sombrero,0,0,0,100
Acrobatic Finishing,0,0,0,100
No Look Pass,0,0,0,100

Bio,0,0,0,0
Leg Length,0,0,0,250
Arm Length,0,0,0,50
Waist Size,0,0,0,0
Chest,0,0,0,25
Shoulder Width,0,0,0,25
Neck Length,0,0,0,0
Quick Bio,0,0,0,5
Strong Bio,0,0,0,5
