attribute,min,ok,top,ponderation
Height,165,175,185,3
Offensive Awareness,75,80,87,8
Ball Control,80,87,92,10
Dribbling,80,87,92,10
Tight Possession,80,87,92,10
Low Pass,80,87,90,10
Lofted Pass,80,87,90,8
Finishing,75,85,90,10
Heading,70,78,87,3
Place Kicking,75,80,90,3
Curl,75,85,90,5
Defensive Awareness,60,70,80,3
Defensive Engagement,60,70,80,3
Tackling,60,70,80,3
Aggression,60,70,80,3
Speed,85,90,95,17
Acceleration,85,90,95,17
Kicking Power,80,85,90,10
Jump,70,75,80,2
Physical Contact,75,80,87,5
Balance,80,87,92,10
Stamina,80,87,92,10

epic_dif,0,0,0,0
weak_foot_usage,0,0,0,1000
weak_foot_acc,0,0,0,1300
player_form,0,0,0,3000
injury_resistance,0,0,0,0

Skills,0,0,0,0
Momentum Dribbling,0,0,0,2100
Blitz Curler,0,0,0,1700
Phenomenal Pass,0,0,0,1700
Visionary Pass,0,0,0,1700
Edged Crossing,0,0,0,1300
Phenomenal Finishing,0,0,0,1000
Acceleration Burst,0,0,0,1000
Magnetic Feet,0,0,0,800
Low Screamer,0,0,0,800
Game Changing Pass,0,0,0,500
Long Reach Tackle,0,0,0,300
Bullet Header,0,0,0,200
Fortress,0,0,0,200
Will Power, 0,0,0,200
Long Range Curler,0,0,0,800
Through Passing,0,0,0,1000
First Time Shot,0,0,0,1000
One Touch Pass,0,0,0,1000
Long Range Shooting,0,0,0,800
Double Touch,0,0,0,800
Marseille Turn,0,0,0,800
Pinpoint Crossing,0,0,0,800
Fighting Spirit,0,0,0,800
Weighted Pass,0,0,0,800
Low Lofted Pass,0,0,0,800
Long Throw,0,0,0,500
Sole Control,0,0,0,500
Flip Flap,0,0,0,500
Super Sub,0,0,0,500
Outside Curler,0,0,0,500
Heading,0,0,0,500
Gamesmanship,0,0,0,300
Cut Behind & Turn,0,0,0,300
Scissors Feint,0,0,0,300
Sliding Tackle,0,0,0,300
Interception,0,0,0,300
Dipping Shot,0,0,0,300
Rising Shots,0,0,0,300
Track Back,0,0,0,300
Scotch Move,0,0,0,300
Knuckle Shot,0,0,0,300
Acrobatic Finishing,0,0,0,300
Chop Turn,0,0,0,300
Sombrero,0,0,0,300
Blocker,0,0,0,200
Man Marking,0,0,0,200
Rabona,0,0,0,200
Heel Trick,0,0,0,200
Penalty Specialist,0,0,0,200
Captaincy,0,0,0,200
Aerial Superiority,0,0,0,200
Chip Shot Control,0,0,0,200
Acrobatic Clearance,0,0,0,100
No Look Pass,0,0,0,100

Bio,0,0,0,0
Leg Length,0,0,0,150
Arm Length,0,0,0,25
Waist Size,0,0,0,0
Chest,0,0,0,25
Shoulder Width,0,0,0,25
Neck Length,0,0,0,0
Quick Bio,0,0,0,5
Strong Bio,0,0,0,5
