attribute,min,ok,top,ponderation
Height,165,175,185,2
Offensive Awareness,80,84,88,8
Ball Control,80,87,90,8
Dribbling,84,87,90,10
Tight Possession,84,87,90,8
Low Pass,80,85,90,8
Lofted Pass,84,88,95,17
Finishing,75,80,85,5
Heading,70,75,80,1
Place Kicking,75,80,90,8
Curl,80,87,95,13
Defensive Awareness,60,70,80,5
Defensive Engagement,60,70,80,5
Tackling,60,70,80,5
Aggression,60,70,80,5
Speed,85,90,95,13
Acceleration,85,90,95,10
Kicking Power,75,80,87,8
Jump,70,75,80,1
Physical Contact,75,80,87,8
Balance,80,85,90,8
Stamina,80,85,95,8

epic_dif,0,0,0,0
weak_foot_usage,0,0,0,1000
weak_foot_acc,0,0,0,1000
player_form,0,0,0,3000
injury_resistance,0,0,0,0

Skills,0,0,0,0
Edged Crossing,0,0,0,2100
Visionary Pass,0,0,0,1700
Phenomenal Pass,0,0,0,1700
Momentum Dribbling,0,0,0,1700
Blitz Curler,0,0,0,1300
Acceleration Burst,0,0,0,800
Low Screamer,0,0,0,800
Magnetic Feet,0,0,0,800
Long Reach Tackle,0,0,0,500
Phenomenal Finishing,0,0,0,500
Game Changing Pass,0,0,0,500
Through Passing,0,0,0,1000
One Touch Pass,0,0,0,1000
First Time Shot,0,0,0,800
Long Range Curler,0,0,0,800
Pinpoint Crossing,0,0,0,800
Weighted Pass,0,0,0,800
Low Lofted Pass,0,0,0,800
Super Sub,0,0,0,500
Double Touch,0,0,0,500
Sliding Tackle,0,0,0,500
Interception,0,0,0,500
Fighting Spirit,0,0,0,500
Outside Curler,0,0,0,500
Long Throw,0,0,0,500
Marseille Turn,0,0,0,500
Blocker,0,0,0,300
Gamesmanship,0,0,0,300
Long Range Shooting,0,0,0,300
Cut Behind & Turn,0,0,0,300
Sole Control,0,0,0,300
Flip Flap,0,0,0,300
Heading,0,0,0,300
Man Marking,0,0,0,300
Heel Trick,0,0,0,300
Scissors Feint,0,0,0,300
Chop Turn,0,0,0,300
Rabona,0,0,0,300
Scotch Move,0,0,0,300
Sombrero,0,0,0,300
Track Back,0,0,0,300
Captaincy,0,0,0,200
Acrobatic Clearance,0,0,0,100
Chip Shot Control,0,0,0,100
Dipping Shot,0,0,0,100
Rising Shots,0,0,0,100
Knuckle Shot,0,0,0,100
Acrobatic Finishing,0,0,0,100
Penalty Specialist,0,0,0,100
No Look Pass,0,0,0,100

Bio,0,0,0,0
Leg Length,0,0,0,150
Arm Length,0,0,0,25
Waist Size,0,0,0,0
Chest,0,0,0,0
Shoulder Width,0,0,0,25
Neck Length,0,0,0,0
Quick Bio,0,0,0,5
Strong Bio,0,0,0,5
