attribute,min,ok,top,ponderation
Height,165,175,185,3
Offensive Awareness,75,80,85,8
Ball Control,85,88,92,10
Dribbling,85,88,92,10
Tight Possession,85,88,92,10
Low Pass,82,87,92,17
Lofted Pass,80,85,90,13
Finishing,75,80,87,8
Heading,70,75,85,2
Place Kicking,75,80,90,8
Curl,75,82,87,8
Defensive Awareness,60,70,80,1
Defensive Engagement,60,70,80,1
Tackling,60,70,80,1
Aggression,60,70,80,1
Speed,82,87,90,13
Acceleration,82,87,90,10
Kicking Power,82,88,90,8
Jump,70,75,80,2
Physical Contact,75,80,87,5
Balance,85,88,92,10
Stamina,80,87,90,3

epic_dif,0,0,0,0
weak_foot_usage,0,0,0,1000
weak_foot_acc,0,0,0,1000
player_form,0,0,0,3000
injury_resistance,0,0,0,0

Skills,0,0,0,0
Visionary Pass,0,0,0,2100
Phenomenal Pass,0,0,0,2100
Momentum Dribbling,0,0,0,1700
Blitz Curler,0,0,0,1700
Phenomenal Finishing,0,0,0,1300
Low Screamer,0,0,0,1000
Magnetic Feet,0,0,0,800
Acceleration Burst,0,0,0,800
Will Power,0,0,0,500
Game Changing Pass,0,0,0,500
Edged Crossing,0,0,0,300
Through Passing,0,0,0,1000
One Touch Pass,0,0,0,1000
First Time Shot,0,0,0,800
Long Range Curler,0,0,0,800
Double Touch,0,0,0,800
Marseille Turn,0,0,0,800
Long Range Shooting,0,0,0,800
Fighting Spirit,0,0,0,500
Weighted Pass,0,0,0,500
Super Sub,0,0,0,500
Sole Control,0,0,0,500
Flip Flap,0,0,0,500
Outside Curler,0,0,0,300
Gamesmanship,0,0,0,300
Cut Behind & Turn,0,0,0,300
Scissors Feint,0,0,0,300
Heel Trick,0,0,0,300
Chop Turn,0,0,0,300
Rabona,0,0,0,300
Scotch Move,0,0,0,300
Low Lofted Pass,0,0,0,300
Acrobatic Finishing,0,0,0,300
Dipping Shot,0,0,0,200
Pinpoint Crossing,0,0,0,200
Rising Shots,0,0,0,200
Knuckle Shot,0,0,0,200 
Chip Shot Control,0,0,0,100
Track Back,0,0,0,100
Captaincy,0,0,0,100
Penalty Specialist,0,0,0,100
Sombrero,0,0,0,100

Bio,0,0,0,0
Leg Length,0,0,0,150
Arm Length,0,0,0,25
Waist Size,0,0,0,0
Chest,0,0,0,0
Shoulder Width,0,0,0,25
Neck Length,0,0,0,0
Quick Bio,0,0,0,5
Strong Bio,0,0,0,5
