attribute,min,ok,top,ponderation
Height,165,175,185,2
Offensive Awareness,78,82,87,8
Ball Control,80,85,90,10
Dribbling,85,90,95,10
Tight Possession,85,88,92,10
Low Pass,80,85,90,10
Lofted Pass,85,90,95,17
Finishing,80,84,87,8
Heading,40,70,100,0
Place Kicking,75,80,90,8
Curl,80,87,95,17
Defensive Awareness,40,70,100,0
Defensive Engagement,40,70,100,0
Tackling,40,70,100,0
Aggression,40,70,100,0
Speed,85,90,95,13
Acceleration,84,88,92,13
Kicking Power,75,80,88,10
Jump,40,70,100,0
Physical Contact,75,80,87,5
Balance,80,87,92,10
Stamina,80,87,90,5

epic_dif,0,0,0,0
weak_foot_usage,0,0,0,1000
weak_foot_acc,0,0,0,1000
player_form,0,0,0,3000
injury_resistance,0,0,0,0

Skills,0,0,0,0
Edged Crossing,0,0,0,2100
Momentum Dribbling,0,0,0,1700
Blitz Curler,0,0,0,1300
Visionary Pass,0,0,0,1300
Phenomenal Pass,0,0,0,1300
Acceleration Burst,0,0,0,800
Magnetic Feet,0,0,0,800
Phenomenal Finishing,0,0,0,500
Low Screamer,0,0,0,300
Will Power,0,0,0,200
Long Range Curler,0,0,0,800
Double Touch,0,0,0,800
Through Passing,0,0,0,800
First Time Shot,0,0,0,800
Pinpoint Crossing,0,0,0,800
One Touch Pass,0,0,0,800
Marseille Turn,0,0,0,800
Game Changing Pass,0,0,0,500
Long Range Shooting,0,0,0,500
Fighting Spirit,0,0,0,500
Sole Control,0,0,0,500
Flip Flap,0,0,0,500
Low Lofted Pass,0,0,0,500
Weighted Pass,0,0,0,500
Cut Behind & Turn,0,0,0,300
Scissors Feint,0,0,0,300
Scotch Move,0,0,0,300
Chop Turn,0,0,0,300
Outside Curler,0,0,0,300
Super Sub,0,0,0,300
Rabona,0,0,0,300
Gamesmanship,0,0,0,300
Acrobatic Finishing,0,0,0,200
Heel Trick,0,0,0,200
Dipping Shot,0,0,0,200
Rising Shots,0,0,0,200
Track Back,0,0,0,200
Knuckle Shot,0,0,0,200
Captaincy,0,0,0,200
Chip Shot Control,0,0,0,100
Penalty Specialist,0,0,0,100
Sombrero,0,0,0,100

Bio,0,0,0,0
Leg Length,0,0,0,150
Arm Length,0,0,0,25
Waist Size,0,0,0,0
Chest,0,0,0,0
Shoulder Width,0,0,0,25
Neck Length,0,0,0,0
Quick Bio,0,0,0,5
Strong Bio,0,0,0,5
