attribute,min,ok,top,ponderation
Height,165,175,185,5
Offensive Awareness,80,85,90,13
Ball Control,80,85,90,10
Dribbling,84,88,92,10
Tight Possession,80,85,90,10
Low Pass,80,85,90,10
Lofted Pass,80,85,90,8
Finishing,85,88,92,13
Heading,70,78,87,5
Place Kicking,75,80,90,5
Curl,75,82,87,5
Defensive Awareness,40,70,100,0
Defensive Engagement,40,70,100,0
Tackling,40,70,100,0
Aggression,40,70,100,0
Speed,84,90,95,13
Acceleration,84,90,95,13
Kicking Power,84,88,92,13
Jump,75,80,87,1
Physical Contact,75,80,87,8
Balance,80,85,90,10
Stamina,80,85,90,3

epic_dif,0,0,0,0
weak_foot_usage,0,0,0,1000
weak_foot_acc,0,0,0,1300
player_form,0,0,0,3000
injury_resistance,0,0,0,0

Skills,0,0,0,0
Phenomenal Finishing,0,0,0,2100
Momentum Dribbling,0,0,0,1700
Blitz Curler,0,0,0,1700
Visionary Pass,0,0,0,1300
Phenomenal Pass,0,0,0,1300
Low Screamer,0,0,0,1300
Will Power,0,0,0,800
Acceleration Burst,0,0,0,800
Magnetic Feet,0,0,0,500
Bullet Header,0,0,0,500
Game Changing Pass,0,0,0,500
Edged Crossing,0,0,0,300
First Time Shot,0,0,0,1000
Long Range Curler,0,0,0,1000
Long Range Shooting,0,0,0,1000
Through Passing,0,0,0,800
One Touch Pass,0,0,0,800
Marseille Turn,0,0,0,800
Double Touch,0,0,0,800
Fighting Spirit,0,0,0,500
Super Sub,0,0,0,500
Sole Control,0,0,0,500
Gamesmanship,0,0,0,500
Flip Flap,0,0,0,500
Heel Trick,0,0,0,500
Acrobatic Finishing,0,0,0,500
Heading,0,0,0,500
Outside Curler,0,0,0,300
Weighted Pass,0,0,0,300
Cut Behind & Turn,0,0,0,300
Aerial Superiority,0,0,0,300
Low Lofted Pass,0,0,0,300
Pinpoint Crossing,0,0,0,300
Chip Shot Control,0,0,0,300
Dipping Shot,0,0,0,300
Rising Shots,0,0,0,300
Scissors Feint,0,0,0,300
Track Back,0,0,0,300
Knuckle Shot,0,0,0,300
Scotch Move,0,0,0,300
Chop Turn,0,0,0,300
Sombrero,0,0,0,300
Rabona,0,0,0,300
Captaincy,0,0,0,200
Penalty Specialist,0,0,0,200
No Look Pass,0,0,0,100

Bio,0,0,0,0
Leg Length,0,0,0,150
Arm Length,0,0,0,25
Waist Size,0,0,0,0
Chest,0,0,0,0
Shoulder Width,0,0,0,25
Neck Length,0,0,0,0
Quick Bio,0,0,0,5
Strong Bio,0,0,0,5
